Order Date,Month,Product Category,Subcategory,Region,Province,Customer Segment,Units,Sales,Profit,Discount
2010-10-13,2010-10-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Small Business,6,261.54,-213.25,0.04
2012-10-01,2012-10-01,Office Supplies,Appliances,Nunavut,Nunavut,Consumer,49,10123.02,457.81,0.07
2012-10-01,2012-10-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Consumer,27,244.57,46.71,0.01
2011-07-10,2011-07-01,Technology,Telephones and Communication,Nunavut,Nunavut,Corporate,30,4965.7595,1198.97,0.08
2010-08-28,2010-08-01,Office Supplies,Appliances,Nunavut,Nunavut,Consumer,19,394.27,30.94,0.08
2010-08-28,2010-08-01,Furniture,Office Furnishings,Nunavut,Nunavut,Consumer,21,146.69,4.43,0.05
2011-06-17,2011-06-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Corporate,12,93.54,-54.04,0.03
2011-06-17,2011-06-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Corporate,22,905.08,127.7,0.09
2011-03-24,2011-03-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Corporate,21,2781.82,-695.26,0.07
2010-02-26,2010-02-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,44,228.41,-226.36,0.07
2010-11-23,2010-11-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,45,196.85,-166.85,0.01
2010-11-23,2010-11-01,Office Supplies,Rubber Bands,Nunavut,Nunavut,Home Office,32,124.56,-14.33,0.04
2012-06-08,2012-06-01,Office Supplies,Appliances,Nunavut,Nunavut,Home Office,32,716.84,134.72,0.0
2012-06-08,2012-06-01,Technology,Computer Peripherals,Nunavut,Nunavut,Home Office,31,1474.33,114.46,0.04
2012-08-04,2012-08-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Small Business,15,80.61,-4.72,0.02
2011-05-30,2011-05-01,Furniture,Office Furnishings,Nunavut,Nunavut,Home Office,46,1815.49,782.91,0.03
2009-11-25,2009-11-01,Office Supplies,Envelopes,Nunavut,Nunavut,Small Business,16,248.26,93.8,0.07
2012-02-14,2012-02-01,Furniture,Bookcases,Nunavut,Nunavut,Home Office,44,4462.23,440.72,0.04
2012-02-14,2012-02-01,Furniture,Tables,Nunavut,Nunavut,Home Office,11,663.784,-481.04,0.25
2012-04-15,2012-04-01,Technology,Telephones and Communication,Nunavut,Nunavut,Corporate,15,834.904,-11.68,0.06
2012-04-15,2012-04-01,Technology,Telephones and Communication,Nunavut,Nunavut,Corporate,18,2480.9205,313.58,0.01
2010-03-12,2010-03-01,Office Supplies,Labels,Nunavut,Nunavut,Consumer,13,59.03,26.92,0.1
2010-03-12,2010-03-01,Office Supplies,Rubber Bands,Nunavut,Nunavut,Consumer,21,97.48,-5.77,0.05
2011-03-09,2011-03-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Corporate,33,511.83,-172.88,0.1
2011-03-09,2011-03-01,Technology,Computer Peripherals,Nunavut,Nunavut,Corporate,38,184.99,-144.55,0.05
2012-08-04,2012-08-01,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,Home Office,30,80.9,5.76,0.09
2011-05-06,2011-05-01,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,Home Office,23,67.24,4.9,0.06
2010-12-23,2010-12-01,Technology,Copiers and Fax,Nunavut,Nunavut,Corporate,25,12028.23,-547.61,0.01
2010-11-08,2010-11-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Consumer,28,370.48,-5.45,0.04
2012-10-21,2012-10-01,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,Small Business,49,278.0,41.67,0.08
2011-01-01,2011-01-01,Technology,Computer Peripherals,Nunavut,Nunavut,Home Office,10,66.54,-46.03,0.01
2011-01-01,2011-01-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,21,845.32,33.67,0.06
2011-10-10,2011-10-01,Office Supplies,Labels,Nunavut,Nunavut,Corporate,39,282.07,140.01,0.03
2011-10-10,2011-10-01,Technology,Telephones and Communication,Nunavut,Nunavut,Corporate,24,426.037,-78.96,0.01
2010-09-23,2010-09-01,Technology,Computer Peripherals,Nunavut,Nunavut,Corporate,27,1078.49,252.66,0.08
2011-07-19,2011-07-01,Furniture,Chairs & Chairmats,Nunavut,Nunavut,Corporate,39,3554.46,-1766.01,0.07
2009-10-09,2009-10-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Corporate,47,191.67,-236.27,0.0
2009-10-09,2009-10-01,Furniture,Chairs & Chairmats,Nunavut,Nunavut,Corporate,49,5586.33,80.44,0.09
2009-10-09,2009-10-01,Office Supplies,Paper,Nunavut,Nunavut,Corporate,18,507.64,118.94,0.1
2010-12-09,2010-12-01,Furniture,Chairs & Chairmats,Nunavut,Nunavut,Consumer,30,14223.82,3424.22,0.09
2012-10-08,2012-10-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Small Business,5,42.66,-11.83,0.06
2012-05-02,2012-05-01,Office Supplies,Paper,Nunavut,Nunavut,Small Business,21,427.32,52.35,0.0
2010-03-08,2010-03-01,Technology,Telephones and Communication,Nunavut,Nunavut,Corporate,8,820.284,-180.2,0.0
2011-05-28,2011-05-01,Office Supplies,Labels,Nunavut,Nunavut,Corporate,5,14.76,1.32,0.01
2010-09-19,2010-09-01,Office Supplies,Appliances,Nunavut,Nunavut,Corporate,9,89.55,-375.64,0.06
2011-08-31,2011-08-01,Technology,Telephones and Communication,Nunavut,Nunavut,Home Office,11,1210.0515,-104.25,0.04
2011-08-31,2011-08-01,Office Supplies,Labels,Nunavut,Nunavut,Home Office,50,187.83,85.96,0.03
2011-08-31,2011-08-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,3,49.59,-8.38,0.07
2011-08-31,2011-08-01,Technology,Telephones and Communication,Nunavut,Nunavut,Home Office,30,4253.009,1115.69,0.01
2011-07-08,2011-07-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Home Office,7,59.38,-3.05,0.1
2009-01-30,2009-01-01,Technology,Computer Peripherals,Nunavut,Nunavut,Corporate,42,1285.37,514.07,0.1
2012-01-08,2012-01-01,Office Supplies,Paper,Nunavut,Nunavut,Corporate,11,48.91,-7.04,0.01
2010-11-07,2010-11-01,Office Supplies,Paper,Nunavut,Nunavut,Corporate,22,129.62,4.41,0.05
2010-04-29,2010-04-01,Furniture,Office Furnishings,Nunavut,Nunavut,Corporate,12,118.97,-0.06,0.09
2011-12-31,2011-12-01,Technology,Telephones and Communication,Nunavut,Nunavut,Home Office,8,61.8715,-50.33,0.0
2009-08-12,2009-08-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Corporate,7,384.33,87.68,0.1
2009-08-12,2009-08-01,Office Supplies,Appliances,Nunavut,Nunavut,Corporate,3,239.03,-68.22,0.01
2011-11-12,2011-11-01,Furniture,Office Furnishings,Nunavut,Nunavut,Home Office,44,3922.42,-354.9,0.08
2011-11-12,2011-11-01,Technology,Telephones and Communication,Nunavut,Nunavut,Home Office,25,1733.3625,-267.01,0.07
2012-01-20,2012-01-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,19,208.28,3.63,0.07
2009-03-20,2009-03-01,Office Supplies,"Scissors, Rulers and Trimmers",Nunavut,Nunavut,Corporate,6,9620.82,-1759.58,0.04
2012-07-21,2012-07-01,Office Supplies,Paper,Nunavut,Nunavut,Corporate,40,255.48,-116.79,0.04
2012-07-21,2012-07-01,Office Supplies,Paper,Nunavut,Nunavut,Corporate,18,130.32,-67.28,0.04
2012-06-12,2012-06-01,Office Supplies,Pens & Art Supplies,Nunavut,Nunavut,Corporate,11,312.36,-19.33,0.07
2009-01-15,2009-01-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,41,217.0,-61.21,0.01
2009-01-15,2009-01-01,Office Supplies,Paper,Nunavut,Nunavut,Home Office,47,296.13,119.09,0.04
2010-06-04,2010-06-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Consumer,40,436.17,-141.27,0.08
2010-02-18,2010-02-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Consumer,18,136.29,-77.28,0.05
2011-11-16,2011-11-01,Technology,Computer Peripherals,Nunavut,Nunavut,Corporate,32,1311.25,407.44,0.0
2011-11-16,2011-11-01,Furniture,Bookcases,Nunavut,Nunavut,Corporate,5,544.41,-338.27,0.09
2011-11-16,2011-11-01,Furniture,Office Furnishings,Nunavut,Nunavut,Corporate,41,844.09,52.56,0.04
2011-08-07,2011-08-01,Furniture,Chairs & Chairmats,Nunavut,Nunavut,Corporate,22,6396.2,1902.24,0.02
2010-06-08,2010-06-01,Office Supplies,Envelopes,Nunavut,Nunavut,Corporate,50,751.77,353.2,0.05
2009-10-17,2009-10-01,Office Supplies,Appliances,Nunavut,Nunavut,Consumer,37,1003.06,271.78,0.03
2011-08-28,2011-08-01,Furniture,Chairs & Chairmats,Nunavut,Nunavut,Corporate,4,1266.72,-268.36,0.04
2011-09-29,2011-09-01,Office Supplies,Paper,Nunavut,Nunavut,Small Business,19,368.04,70.39,0.07
2011-09-29,2011-09-01,Office Supplies,Paper,Nunavut,Nunavut,Small Business,24,152.6,-86.62,0.1
2012-05-04,2012-05-01,Office Supplies,Storage & Organization,Nunavut,Nunavut,Small Business,40,3338.98,-846.73,0.0
2011-05-17,2011-05-01,Office Supplies,Binders and Binder Accessories,Nunavut,Nunavut,Consumer,5,24.16,8.05,0.08
2011-05-17,2011-05-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Consumer,41,270.84,-78.02,0.1
2011-05-17,2011-05-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Consumer,35,3389.93,737.94,0.08
2011-05-17,2011-05-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Consumer,42,266.36,-191.28,0.07
2011-05-17,2011-05-01,Office Supplies,Rubber Bands,Northwest Territories,Northwest Territories,Consumer,46,89.41,-21.49,0.01
2009-11-17,2009-11-01,Office Supplies,Appliances,Northwest Territories,Northwest Territories,Corporate,47,2799.7,884.08,0.04
2011-10-10,2011-10-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Corporate,7,2039.56,-329.49,0.04
2012-10-07,2012-10-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Home Office,36,12175.82,2825.15,0.02
2012-10-07,2012-10-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Home Office,5,101.21,2.13,0.1
2012-10-07,2012-10-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Home Office,32,1585.64,707.15,0.02
2011-08-13,2011-08-01,Office Supplies,Labels,Northwest Territories,Northwest Territories,Corporate,44,176.26,75.13,0.07
2011-08-16,2011-08-01,Furniture,Bookcases,Northwest Territories,Northwest Territories,Corporate,32,4655.07,-270.63,0.0
2011-08-16,2011-08-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,44,10087.6,3387.35,0.01
2011-08-16,2011-08-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Corporate,34,1608.08,-82.16,0.09
2009-03-04,2009-03-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,1,12.18,-3.88,0.06
2009-08-18,2009-08-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,50,820.52,-191.22,0.01
2010-11-16,2010-11-01,Furniture,Tables,Northwest Territories,Northwest Territories,Corporate,29,6250.936,31.21,0.01
2011-05-27,2011-05-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,25,854.88,-44.14,0.09
2011-05-27,2011-05-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,46,80.27,-0.79,0.09
2010-08-23,2010-08-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,15,308.54,76.42,0.0
2011-08-19,2011-08-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,20,400.57,93.36,0.05
2012-01-03,2012-01-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Consumer,14,1170.025,4.22,0.04
2012-11-29,2012-11-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Small Business,48,5188.86,395.12,0.1
2012-03-17,2012-03-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,8,339.81,79.59,0.05
2010-04-12,2010-04-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,15,1519.9,399.37,0.09
2010-08-24,2010-08-01,Office Supplies,Labels,Northwest Territories,Northwest Territories,Home Office,30,102.24,37.79,0.09
2011-07-04,2011-07-01,Furniture,Tables,Northwest Territories,Northwest Territories,Corporate,6,965.69,-144.2,0.0
2010-11-10,2010-11-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Consumer,25,397.84,-14.75,0.0
2010-06-24,2010-06-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Corporate,4,73.07,-41.01,0.08
2010-06-24,2010-06-01,Furniture,Tables,Northwest Territories,Northwest Territories,Corporate,26,4679.1,111.52,0.05
2012-09-19,2012-09-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Home Office,46,8009.5925,2332.4,0.02
2012-09-19,2012-09-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Home Office,23,4689.66,2176.19,0.01
2011-12-24,2011-12-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Corporate,25,3019.41,1269.05,0.04
2012-03-23,2012-03-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,5,36.86,-32.82,0.07
2011-10-15,2011-10-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Corporate,12,22079.47,5322.14,0.06
